"date","platform","campaign_type","ad_spend","revenue","conversions","impressions","clicks"
"2024-09-14","TikTok Ads","Search","11857.2","295028.26","1133","198085","14460"
"2024-07-14","Meta Ads","Shopping","3707.55","6163.84","163","111802","2247"
"2024-08-01","Google Ads","Shopping","4418.3","13375.79","89","65186","1955"
"2024-06-15","TikTok Ads","Video","6244.8","44008.34","459","101176","6505"
"2024-08-07","TikTok Ads","Video","779.19","6211.99","92","41307","1367"
"2024-05-12","Meta Ads","Video","4318.51","41760.07","187","174579","3247"
"2024-02-14","Meta Ads","Video","2065.45","1798.59","37","83137","2045"
"2024-01-04","Meta Ads","Search","1570.8","45753.83","159","122897","2040"
"2024-10-17","TikTok Ads","Search","955.59","29213.28","98","47462","1803"
"2024-06-19","TikTok Ads","Display","9899.12","34456.26","165","99202","6428"
"2024-02-26","Meta Ads","Shopping","5302.76","27759.15","185","125871","3083"
"2024-03-10","Google Ads","Search","444.96","1186.19","6","8880","216"
"2024-11-30","Google Ads","Shopping","11514.44","34670.52","315","156388","7021"
"2024-03-27","Google Ads","Video","6821.25","11521.03","50","109672","2675"
"2024-05-07","Meta Ads","Display","2469.6","9384.9","90","70030","1470"
"2024-01-03","Meta Ads","Video","13317.62","22418.8","89","149375","6109"
"2024-06-07","Meta Ads","Search","6986.16","7553.6","52","123171","3756"
"2024-03-16","Meta Ads","Search","649.64","3583.95","35","52779","596"
"2024-05-23","Google Ads","Display","7601.97","11935.14","178","117036","3569"
"2024-07-17","TikTok Ads","Shopping","12664.47","36680.47","671","177517","13917"
"2024-12-30","TikTok Ads","Search","5744.25","42464.91","398","196349","8325"
"2024-10-31","TikTok Ads","Search","16416.54","162206.84","822","174898","13029"
"2024-06-30","Google Ads","Display","14218.7","36574.45","341","83972","4903"
"2024-04-26","Meta Ads","Search","4519.43","8918.68","32","165371","2993"
"2024-08-30","TikTok Ads","Shopping","10972.88","21583.28","73","133949","7219"
"2024-09-15","TikTok Ads","Display","8551.44","49251.38","442","105400","7704"
"2024-08-04","Google Ads","Shopping","4591.92","37769.59","150","63959","2014"
"2024-03-06","Google Ads","Search","164.98","611.36","5","6044","146"
"2024-04-08","Google Ads","Shopping","10983.74","21488.5","145","90945","3637"
"2024-02-01","Google Ads","Search","7888.89","11815.26","95","73681","4457"
"2024-12-14","Google Ads","Display","26221.02","122723.09","444","195545","8799"
"2024-07-14","Google Ads","Shopping","7334.88","5098.84","46","46846","2183"
"2024-07-03","Google Ads","Shopping","9598.39","6604","135","183428","4549"
"2024-05-09","Google Ads","Shopping","20275.6","20779.66","111","173913","5860"
"2024-05-05","Google Ads","Video","20673.59","5416.71","157","190541","9527"
"2024-09-11","TikTok Ads","Video","5396.86","3555.98","110","122116","5507"
"2024-03-23","Google Ads","Display","3515.94","3124.11","25","47879","1149"
"2024-10-08","Meta Ads","Search","4306.8","73917.74","463","164876","5820"
"2024-05-13","Meta Ads","Display","907.29","18762.73","121","163253","1779"
"2024-10-04","Meta Ads","Shopping","1179.64","25286.78","114","120631","1532"
"2024-04-29","Meta Ads","Display","130.02","2637.16","11","12610","197"
"2024-01-12","Meta Ads","Video","1439.9","1319.08","32","62676","595"
"2024-07-10","Google Ads","Search","7116.27","4800.81","114","59943","2163"
"2024-10-20","Meta Ads","Display","441","6354.23","52","78302","900"
"2024-09-04","Google Ads","Video","9153.6","18155.37","525","154805","9535"
"2024-05-09","TikTok Ads","Video","2961.09","9665.89","45","41839","2991"
"2024-06-17","Meta Ads","Shopping","1742.27","15282.38","150","127872","2953"
"2024-11-04","Google Ads","Display","11142.18","91145.36","349","146779","5019"
"2024-06-26","Google Ads","Shopping","10995.6","34421.71","241","133588","6545"
"2024-01-29","Google Ads","Video","8223.6","48785.37","199","82462","3916"
"2024-01-18","Google Ads","Display","4279.6","12311.15","43","55248","1646"
"2024-08-09","Google Ads","Display","2278.53","5506.03","69","90374","2349"
"2024-03-06","Meta Ads","Video","1881.76","4162.98","16","104976","1238"
"2024-11-10","Google Ads","Display","4212.01","4447.19","113","124774","3481"
"2024-08-14","Google Ads","Search","2489.52","14321.34","129","109263","2829"
"2024-06-13","Google Ads","Video","17091.54","45447.24","289","105814","6126"
"2024-08-16","TikTok Ads","Shopping","2253.12","2659.26","33","41113","2347"
"2024-01-15","Google Ads","Search","4422.6","7135.44","39","43098","1620"
"2024-08-28","Meta Ads","Display","469.68","2306.63","14","25991","309"
"2024-11-21","Google Ads","Display","4149.15","16435.61","59","150778","2985"
"2024-07-17","Google Ads","Video","9885.2","21520.64","340","113500","7604"
"2024-10-31","Meta Ads","Video","4592.17","4347.77","56","140453","4213"
"2024-04-21","TikTok Ads","Display","1850.64","26865.9","99","27936","1402"
"2024-02-27","TikTok Ads","Display","6464.25","8508.68","139","133303","4225"
"2024-05-02","Google Ads","Video","11389.14","5367.73","48","117333","2898"
"2024-09-14","Meta Ads","Display","13049.4","13261.37","283","152680","6214"
"2024-09-20","Google Ads","Display","12030.17","58628.48","267","168384","4681"
"2024-08-22","Google Ads","Display","8861.44","50663.13","240","106026","5152"
"2024-04-22","Google Ads","Search","12971.75","42108.23","200","107364","4895"
"2024-06-25","Google Ads","Video","8632.08","115644.47","552","132152","7572"
"2024-07-14","Google Ads","Shopping","18150.87","56034.95","372","116695","5799"
"2024-11-28","Meta Ads","Search","3759.3","8691.11","188","116030","4177"
"2024-08-11","TikTok Ads","Search","4595.69","133415.01","653","164599","11209"
"2024-04-18","TikTok Ads","Video","12602.8","133607.64","892","188844","12860"
"2024-09-10","TikTok Ads","Search","4602.4","12042.73","141","90468","5753"
"2024-06-24","Google Ads","Video","16028.7","47449.87","166","117223","7935"
"2024-03-26","TikTok Ads","Shopping","2430.12","27905.19","272","93478","5786"
"2024-11-29","Google Ads","Video","316.92","329.55","2","9134","228"
"2024-05-10","Meta Ads","Display","1890.81","4626.55","46","29485","1341"
"2024-12-23","TikTok Ads","Video","853","14659.06","74","22221","1706"
"2024-06-19","Google Ads","Display","11137.42","8808.29","98","178567","8374"
"2024-10-06","TikTok Ads","Display","6506.5","11467.08","300","93074","4225"
"2024-12-24","Google Ads","Search","5113.92","40138.5","312","155840","4566"
"2024-07-21","TikTok Ads","Display","2271.51","9545.28","79","21956","1611"
"2024-05-06","Meta Ads","Search","3727.18","18303.42","142","177224","2374"
"2024-11-04","Google Ads","Search","4523.7","18904.07","104","93720","2661"
"2024-05-28","Google Ads","Display","19452.5","26123.28","124","169909","7781"
"2024-08-05","Meta Ads","Video","1622.85","7800.92","28","46548","1047"
"2024-12-08","Meta Ads","Search","289.14","386.94","2","6875","158"
"2024-12-26","Google Ads","Search","10277","35904.36","335","106975","4300"
"2024-02-08","Google Ads","Shopping","1007.51","908.68","6","10574","389"
"2024-07-16","TikTok Ads","Video","5967.54","39581.75","282","147658","6939"
"2024-06-02","Meta Ads","Shopping","1611.95","6481.69","23","52013","1565"
"2024-10-18","Google Ads","Search","2291.9","18417.53","79","49484","1118"
"2024-07-04","Google Ads","Search","1744","5981","26","18877","545"
"2024-04-15","Meta Ads","Shopping","1839.6","2467.18","27","106505","1022"
"2024-05-25","Google Ads","Search","2896.51","29612.56","128","65107","1777"
"2024-03-02","Google Ads","Shopping","2041.2","22785.52","80","69839","1620"
"2024-02-27","Google Ads","Video","21667.2","21837.83","359","104794","5920"
"2024-04-14","Meta Ads","Video","930.24","26101.34","89","33549","1224"
"2024-02-17","Google Ads","Video","9838.08","22193.12","153","133027","7808"
"2024-11-12","Meta Ads","Video","2181.36","5935.39","38","27419","1192"
"2024-05-24","Google Ads","Video","5941.5","28653.63","157","102648","2330"
"2024-01-20","Google Ads","Display","26127.94","189283.47","651","181687","8321"
"2024-07-22","Google Ads","Display","19123.65","23590.83","323","166792","6071"
"2024-06-26","TikTok Ads","Search","416","2147.95","16","7889","416"
"2024-11-14","Meta Ads","Video","8852.71","26101.17","117","129746","4891"
"2024-03-17","Google Ads","Display","5099.64","7342.38","193","94506","3269"
"2024-05-17","Google Ads","Display","1461.24","3418.15","21","12086","594"
"2024-05-07","TikTok Ads","Display","1660.05","81349.35","313","145497","4743"
"2024-05-18","Meta Ads","Search","440.3","260.32","3","14491","259"
"2024-03-13","Meta Ads","Shopping","5955.74","22322.38","193","156043","4478"
"2024-07-19","TikTok Ads","Display","5539.56","22178.1","232","115304","3551"
"2024-09-24","TikTok Ads","Shopping","9329.94","55471.3","502","132571","9147"
"2024-11-13","Google Ads","Display","6097.6","47885.36","201","92502","2960"
"2024-11-23","Google Ads","Display","16316.05","17630.23","186","133792","6943"
"2024-12-26","Google Ads","Display","7133.4","34518.13","135","77258","3963"
"2024-05-10","Google Ads","Display","4157.4","32318.91","129","74672","2665"
"2024-04-18","TikTok Ads","Search","2125.97","18414.15","72","41558","1757"
"2024-12-05","Google Ads","Shopping","16889.48","23257.77","144","134560","5947"
"2024-05-26","TikTok Ads","Search","8917.35","46285.52","313","143518","10491"
"2024-10-09","Meta Ads","Video","189.28","1105.17","6","7402","91"
"2024-09-25","Google Ads","Shopping","4355.28","8811.53","137","49225","2367"
"2024-07-28","Google Ads","Video","24113.08","83080.36","310","173678","11428"
"2024-03-07","Meta Ads","Display","466.57","13024.34","80","92793","1261"
"2024-08-09","TikTok Ads","Video","7805.07","67215.82","293","122408","6671"
"2024-07-04","TikTok Ads","Search","12816.6","13520.75","120","162826","7815"
"2024-07-10","Meta Ads","Shopping","5678.2","41736.54","188","134614","3190"
"2024-03-18","Google Ads","Shopping","11485.32","28791.61","188","116451","3388"
"2024-02-13","Google Ads","Search","27966.96","89376.47","554","188276","11277"
"2024-07-14","Meta Ads","Search","9628.14","21448.35","132","165552","4337"
"2024-08-18","Meta Ads","Video","1766.44","6412.73","36","82271","3397"
"2024-12-30","TikTok Ads","Search","1182.34","8842.35","50","61921","3814"
"2024-09-26","Google Ads","Shopping","13734","49746.79","285","161089","6540"
"2024-09-13","Google Ads","Shopping","2464.68","6024.46","74","85618","2679"
"2024-12-12","Meta Ads","Search","351.48","4981.94","34","30457","606"
"2024-01-25","TikTok Ads","Search","3572","5769.59","113","46420","1880"
"2024-08-21","Google Ads","Search","6430.72","17709.21","64","180746","5024"
"2024-06-26","TikTok Ads","Search","2129.52","65541.49","229","131244","5604"
"2024-03-01","Google Ads","Search","3129.1","27708.88","163","86678","2158"
"2024-11-03","Google Ads","Display","8719.92","68153.47","240","70226","4037"
"2024-12-01","Google Ads","Search","16360.8","48445.72","358","124119","6416"
"2024-05-16","Google Ads","Shopping","7695.85","14074.18","110","126292","5165"
"2024-02-23","Google Ads","Video","15139.89","31748.86","615","189935","10161"
"2024-04-16","Google Ads","Display","5926.2","20395.26","121","103066","2380"
"2024-03-30","Meta Ads","Shopping","160.19","912.82","11","11083","193"
"2024-04-25","Meta Ads","Display","193.28","1253.71","5","6074","128"
"2024-10-11","TikTok Ads","Video","2420.04","13580.22","137","54752","2814"
"2024-02-10","Meta Ads","Video","5000.1","26737.15","207","141313","4762"
"2024-11-28","TikTok Ads","Display","3163.65","12153.4","74","34669","1965"
"2024-03-17","Meta Ads","Display","943.95","20952.03","78","104714","1015"
"2024-05-30","TikTok Ads","Video","6020.56","53965.61","516","109733","6616"
"2024-09-16","TikTok Ads","Display","2812.32","42271.31","395","67502","5859"
"2024-04-24","Google Ads","Display","12526.08","7241.16","137","129121","4893"
"2024-03-25","Google Ads","Video","15007.6","52487.34","341","173102","4414"
"2024-03-27","Google Ads","Shopping","9147.71","82224.93","393","140607","6397"
"2024-01-11","Google Ads","Search","6812.96","7504.87","83","48351","2156"
"2024-04-06","TikTok Ads","Video","5624.19","64189.34","428","118135","8151"
"2024-06-25","TikTok Ads","Search","535.58","7476.28","27","20185","878"
"2024-11-29","TikTok Ads","Video","1519.14","22644.29","279","50802","3617"
"2024-08-14","Meta Ads","Shopping","1006.3","12555.06","49","34048","694"
"2024-02-23","TikTok Ads","Video","1150.56","33165.74","138","56672","2397"
"2024-05-15","Google Ads","Video","9904.95","26098.81","226","128962","7337"
"2024-09-22","Meta Ads","Video","847.99","2243.79","45","15532","593"
"2024-08-15","Google Ads","Video","7601.92","24965.13","366","154666","5939"
"2024-08-22","TikTok Ads","Video","550.55","3533.89","29","9722","455"
"2024-08-10","Google Ads","Display","572.32","5921.83","20","24464","511"
"2024-02-09","Meta Ads","Video","2794.56","12671.79","63","170413","3936"
"2024-03-12","TikTok Ads","Video","3779.16","13660.38","49","109205","4499"
"2024-08-20","Google Ads","Shopping","17844.96","11807.21","87","161926","5424"
"2024-10-14","Meta Ads","Search","1333.26","2319.58","19","125725","1646"
"2024-05-17","TikTok Ads","Video","6087.1","37780.9","212","116301","4198"
"2024-12-12","Google Ads","Shopping","3437.85","17509.21","151","88251","2665"
"2024-10-12","Google Ads","Video","5904.08","67552.8","246","185378","3244"
"2024-08-13","Meta Ads","Shopping","5421.36","14673.05","370","177905","5532"
"2024-08-16","Meta Ads","Video","1546.98","36419.79","143","122845","2714"
"2024-06-17","Meta Ads","Video","1222.1","1258.31","28","36017","1210"
"2024-05-13","Google Ads","Search","3684.66","50107.59","287","71267","3962"
"2024-01-04","Meta Ads","Display","624.24","4965.75","43","97152","1156"
"2024-09-03","Meta Ads","Shopping","797.28","2361.23","23","33834","906"
"2024-12-14","TikTok Ads","Shopping","7093","88634","373","183775","7093"
"2024-08-31","Meta Ads","Search","4995.84","25169.83","333","199405","5204"
"2024-03-19","TikTok Ads","Search","13359.75","26995.02","203","169512","9475"
"2024-11-06","Google Ads","Display","1758.25","4123.58","43","14884","541"
"2024-11-19","TikTok Ads","Shopping","3135.75","9884.86","36","47623","1695"
"2024-11-24","Meta Ads","Search","2342.4","16160.9","63","102780","1952"
"2024-02-10","Google Ads","Shopping","7165.66","15937.54","71","167717","4142"
"2024-09-05","Meta Ads","Search","13279.27","36177.68","170","189598","6673"
"2024-01-21","TikTok Ads","Display","8794.17","72065.02","291","92273","6237"
"2024-09-05","Google Ads","Display","17499.4","121374.91","450","118884","5932"
"2024-04-04","Google Ads","Search","13781.04","20354.89","100","84303","4417"
"2024-01-04","Google Ads","Video","12384.28","13483.54","277","89730","4621"
"2024-11-30","Google Ads","Search","7498.08","90351.24","398","174737","5207"
"2024-09-10","Google Ads","Shopping","10307.52","76404.29","566","145508","7158"
"2024-04-24","Google Ads","Shopping","4981.76","12588.99","110","75649","1792"
"2024-03-25","TikTok Ads","Display","1182.3","30312.31","167","85522","3378"
"2024-11-19","Meta Ads","Shopping","768.18","560.03","5","19588","434"
"2024-11-02","TikTok Ads","Video","6820.4","150774.99","520","92985","8024"
"2024-03-21","Google Ads","Video","8410.5","14769.75","71","134198","2670"
"2024-12-06","TikTok Ads","Search","388.32","10397.04","61","25951","809"
"2024-10-19","Google Ads","Shopping","2416.32","18110.48","64","55385","1678"
"2024-01-01","Google Ads","Search","3170","3670.88","17","21702","1000"
"2024-02-27","TikTok Ads","Search","6898","54701.33","645","195972","13796"
"2024-09-12","Meta Ads","Search","3457.44","11150.38","93","73447","2401"
"2024-10-17","Meta Ads","Search","3328.38","3790.94","32","55867","1681"
"2024-05-19","Google Ads","Display","3295.31","4231.38","64","64567","1439"
"2024-07-02","TikTok Ads","Shopping","5567.1","17255.15","63","97254","3374"
"2024-01-20","Meta Ads","Shopping","4159.36","3826.61","24","147897","2144"
"2024-09-13","Meta Ads","Display","12372.94","109895.16","391","115379","5134"
"2024-03-03","Google Ads","Search","2128.09","6716.48","112","51566","1531"
"2024-06-18","Google Ads","Search","13480.04","2434.91","73","184889","6212"
"2024-04-17","TikTok Ads","Shopping","5403.46","7280.48","100","100028","7402"
"2024-07-31","TikTok Ads","Search","1583.01","6012.36","55","29741","1287"
"2024-03-12","Google Ads","Shopping","12546.94","71470.23","248","155033","5782"
"2024-08-15","TikTok Ads","Shopping","932.2","7014.55","40","13562","790"
"2024-01-18","Meta Ads","Shopping","5171.76","6284.59","84","84830","2612"
"2024-05-21","Meta Ads","Shopping","2211.78","5094.36","27","119427","1146"
"2024-08-15","Google Ads","Shopping","9198.51","79311.56","268","175623","9483"
"2024-07-25","Google Ads","Search","12668.4","66254.75","308","93919","4968"
"2024-11-04","TikTok Ads","Display","1272.6","38945.83","183","46190","3030"
"2024-10-29","Meta Ads","Display","5613.44","6472.17","82","152996","3136"
"2024-06-03","TikTok Ads","Shopping","2230.82","17495.08","245","62600","3142"
"2024-02-29","Meta Ads","Search","677.1","6906.4","45","36127","610"
"2024-04-28","TikTok Ads","Video","9181.92","14612.87","108","110940","6512"
"2024-04-01","Meta Ads","Search","2445.3","31285.11","125","91332","3762"
"2024-08-27","TikTok Ads","Video","3370.38","25118.55","120","149526","4321"
"2024-04-29","Meta Ads","Search","2975.44","21523.93","82","77746","2861"
"2024-04-17","Google Ads","Video","3016.7","49067.29","200","105804","3110"
"2024-09-15","Meta Ads","Video","1592.5","19164.89","73","37599","1225"
"2024-04-14","Google Ads","Shopping","2050.05","2255.24","40","9791","519"
"2024-02-29","Google Ads","Search","4953.2","6827.25","72","34802","1708"
"2024-10-17","TikTok Ads","Display","4880.48","41499.01","253","81394","5192"
"2024-09-06","Google Ads","Shopping","6307.2","36776.35","250","101299","3504"
"2024-08-30","Meta Ads","Video","802.88","2904.54","74","140431","1544"
"2024-06-04","Google Ads","Video","6890.6","8983.58","168","113368","5260"
"2024-06-18","Google Ads","Display","6540.15","19291.23","155","89263","3695"
"2024-08-01","Meta Ads","Display","8749.4","48341.14","179","168947","4510"
"2024-06-13","TikTok Ads","Search","11318.4","26357.3","209","139511","8384"
"2024-09-12","Google Ads","Search","1516.01","4091.03","44","25927","1501"
"2024-11-20","Meta Ads","Shopping","7835.17","38358.92","167","165322","4529"
"2024-12-13","Meta Ads","Video","2596.88","12612.87","70","149542","2497"
"2024-09-17","Meta Ads","Video","725.34","4554.08","20","20021","462"
"2024-01-16","Google Ads","Shopping","905.96","4886.84","49","31783","781"
"2024-01-14","Meta Ads","Display","1151.04","9636.88","41","171020","2616"
"2024-01-24","Google Ads","Shopping","1818.96","2004.67","43","31325","858"
"2024-12-30","Meta Ads","Display","820.8","1025.05","16","49134","1026"
"2024-04-30","Google Ads","Display","4928.04","5366.72","29","114599","2028"
"2024-10-08","Meta Ads","Video","3493.6","8029.71","38","198581","1985"
"2024-07-21","Google Ads","Video","31017.48","10260.33","321","157890","9204"
"2024-04-04","Google Ads","Search","13501.96","105685.25","439","161215","5948"
"2024-01-30","TikTok Ads","Video","1496.04","41382.29","163","48147","3562"
"2024-04-04","Meta Ads","Video","2629.6","11242.68","123","90818","3287"
"2024-06-28","Google Ads","Video","11310","110383.15","458","118415","6500"
"2024-11-13","TikTok Ads","Shopping","6653.1","24007.44","141","113886","4965"
"2024-03-29","Meta Ads","Display","4496.48","6109.21","81","113668","2864"
"2024-06-21","Meta Ads","Shopping","2121.64","8926.11","91","76880","1798"
"2024-09-28","Google Ads","Search","16758.36","38220.88","191","138438","4734"
"2024-11-10","Google Ads","Search","1038.33","3361.16","83","34764","1251"
"2024-03-27","Meta Ads","Video","3360.72","12312.27","96","61387","1608"
"2024-11-01","TikTok Ads","Shopping","9362.99","94107.07","580","139607","10289"
"2024-02-03","Meta Ads","Shopping","2293.08","2529.5","30","48271","1182"
"2024-11-21","TikTok Ads","Search","4808.64","153650.81","686","181833","10018"
"2024-05-20","Meta Ads","Video","4583.26","4630.48","35","83678","2761"
"2024-04-25","Google Ads","Search","2039.31","31968.71","130","32898","1743"
"2024-09-03","Meta Ads","Search","1481.76","16744.05","62","36153","882"
"2024-06-14","Meta Ads","Search","6549.12","23552.19","125","140372","4548"
"2024-01-27","TikTok Ads","Video","8898.24","34964.66","137","196889","9568"
"2024-02-11","TikTok Ads","Display","3333","42781.66","180","77467","3300"
"2024-02-11","Google Ads","Shopping","2241.28","9936.27","56","29016","1088"
"2024-07-11","Meta Ads","Shopping","3296.06","30970.48","113","117200","1699"
"2024-05-05","Google Ads","Shopping","8210.87","41434.67","147","134157","3407"
"2024-03-26","Google Ads","Display","4872.56","25426.86","263","161434","6328"
"2024-07-14","TikTok Ads","Shopping","2017.27","12898.32","55","62888","3307"
"2024-05-13","Google Ads","Video","6469.41","29012.87","179","108187","2423"
"2024-08-19","Meta Ads","Search","3462.3","11133.49","73","199363","3847"
"2024-04-29","Meta Ads","Video","958","7848.99","35","59160","958"
"2024-11-21","Google Ads","Shopping","8149.18","8262.09","92","78551","2411"
"2024-10-03","Meta Ads","Display","4493.84","89187.58","536","186711","7748"
"2024-10-04","Meta Ads","Shopping","218.16","2000.84","7","5528","108"
"2024-12-07","Google Ads","Shopping","23522.8","105358.98","445","144535","7588"
"2024-08-08","Meta Ads","Search","315.52","3745.84","14","8188","272"
"2024-08-05","Google Ads","Display","14108.64","51341.85","202","71151","4368"
"2024-03-06","Meta Ads","Shopping","2782.62","52673.17","255","171797","5153"
"2024-02-18","TikTok Ads","Search","5909.85","118511.79","414","173050","8565"
"2024-09-04","TikTok Ads","Video","5446.98","10627.54","93","178269","8646"
"2024-12-21","Google Ads","Display","5905","25718.59","377","164028","5905"
"2024-02-01","TikTok Ads","Video","12383.2","112251.74","538","184504","15479"
"2024-10-19","TikTok Ads","Shopping","5868.64","25992.88","89","119515","6824"
"2024-10-18","Meta Ads","Search","4501.44","6469.19","31","108591","2084"
"2024-05-11","Meta Ads","Shopping","3589.38","17508.47","63","68472","2601"
"2024-09-21","TikTok Ads","Shopping","8327.55","10360.55","182","170201","7931"
"2024-03-09","Google Ads","Video","4903.92","27593.24","153","92340","2502"
"2024-04-11","TikTok Ads","Search","3231.27","12153.39","137","136940","4683"
"2024-12-24","Google Ads","Search","5301.04","55571.88","434","106311","5762"
"2024-03-15","TikTok Ads","Shopping","4436.88","5864.19","43","120016","3336"
"2024-10-22","Meta Ads","Display","14844.06","86871.54","461","193946","7854"
"2024-09-24","TikTok Ads","Shopping","3514.75","7373.66","86","138780","4135"
"2024-07-27","Meta Ads","Display","611.1","2655.69","19","51365","873"
"2024-03-06","Google Ads","Shopping","13755.12","58276.63","342","185903","4647"
"2024-03-01","TikTok Ads","Display","2213.25","15061.62","51","61232","2951"
"2024-10-06","TikTok Ads","Display","11233.74","60002.91","201","122286","7642"
"2024-03-06","TikTok Ads","Shopping","6637.95","15410.94","279","60114","4917"
"2024-02-04","Meta Ads","Display","3145.33","9959.37","49","124004","2083"
"2024-02-05","TikTok Ads","Search","4518.15","49052.14","228","168322","4965"
"2024-05-09","Meta Ads","Display","7008.64","17960.45","127","113957","3008"
"2024-02-04","Google Ads","Search","7817.16","28440.57","323","137290","5011"
"2024-05-21","Meta Ads","Video","360.36","1433.96","9","12253","468"
"2024-12-21","Google Ads","Video","17677.62","11237.04","140","109216","5777"
"2024-03-03","Google Ads","Shopping","6593.76","29121.09","112","166215","9158"
"2024-11-29","Meta Ads","Shopping","11705.85","7932.09","154","140678","5655"
"2024-07-19","Google Ads","Search","8317.12","28182.41","119","176066","5264"
"2024-04-29","Google Ads","Search","3293.4","3528.5","80","59418","1996"
"2024-01-27","Google Ads","Search","4974.24","88233.11","432","143183","5784"
"2024-07-19","Meta Ads","Shopping","4670.24","7460.79","193","194059","3434"
"2024-08-02","Google Ads","Shopping","6904.6","45859.64","171","98899","2185"
"2024-02-25","Meta Ads","Search","3490.34","28288.04","108","129494","1631"
"2024-03-03","TikTok Ads","Shopping","11476.24","108198.8","422","191443","6872"
"2024-12-30","TikTok Ads","Search","1222.8","26763.8","97","61950","4076"
"2024-11-08","Google Ads","Shopping","1423.84","5146.88","40","34605","809"
"2024-01-31","TikTok Ads","Shopping","8628.45","90118.48","422","127790","7015"
"2024-01-09","TikTok Ads","Search","8838.4","8632.99","247","96310","6905"
"2024-09-05","Google Ads","Shopping","7649.6","12329.91","225","197589","4781"
"2024-02-17","Meta Ads","Video","4193.43","14643.53","58","118566","3711"
"2024-09-25","Meta Ads","Shopping","5105.92","8236.16","110","199451","3989"
"2024-10-23","Google Ads","Display","4891.3","14897.06","133","88251","5965"
"2024-01-15","Google Ads","Display","5031.2","22127.3","149","55406","2648"
"2024-02-16","TikTok Ads","Display","13723.47","86774.51","588","141447","9873"
"2024-02-06","Google Ads","Video","7496.67","45161.9","161","73591","2649"
"2024-02-25","Google Ads","Video","7773.48","16856.48","160","66477","2718"
"2024-08-28","Meta Ads","Video","5503.14","34412.06","506","196386","6794"
"2024-10-28","Google Ads","Display","10150.4","7568.63","62","78927","3172"
"2024-12-10","Google Ads","Display","8786.83","70137.51","248","184857","3419"
"2024-08-30","TikTok Ads","Display","5719.12","58791.38","413","122174","6499"
"2024-07-26","Google Ads","Search","13462.4","21018.47","121","108719","4207"
"2024-11-08","Meta Ads","Shopping","1884","30294.1","186","186949","3140"
"2024-09-12","Google Ads","Video","38453.32","67604.89","264","193869","13124"
"2024-07-28","Google Ads","Search","8285.76","12930.51","120","158535","3836"
"2024-12-14","TikTok Ads","Search","12455.32","95805.85","546","148949","12332"
"2024-07-19","Google Ads","Display","23234.64","51289.24","334","184810","7447"
"2024-07-16","Meta Ads","Video","1684.93","4865.84","37","85989","997"
"2024-02-16","Meta Ads","Shopping","1046.4","11846.71","40","35755","654"
"2024-10-25","Meta Ads","Video","12024.9","91198.92","351","184298","7758"
"2024-03-17","Meta Ads","Video","625.19","8615.57","43","22878","619"
"2024-11-16","Meta Ads","Search","7082.75","4666.78","135","151539","3455"
"2024-10-26","Google Ads","Display","21154.44","111623.05","400","180365","6114"
"2024-08-22","Meta Ads","Video","496.8","5163.27","34","30168","1080"
"2024-05-12","Google Ads","Display","2901.87","31980.19","126","26352","1697"
"2024-01-23","Google Ads","Search","3933.09","18788.47","148","57979","2081"
"2024-10-12","Google Ads","Video","19330.74","21350.44","158","173769","6759"
"2024-09-01","TikTok Ads","Shopping","12666.87","61485.88","553","131206","8279"
"2024-05-20","Meta Ads","Display","1473.5","15157.93","52","64799","842"
"2024-01-16","Meta Ads","Shopping","2570.56","15989.78","66","167893","4432"
"2024-04-29","Google Ads","Display","12508.42","38937.53","142","72474","4022"
"2024-10-25","Meta Ads","Video","3423.8","2147.03","61","138678","1802"
"2024-07-06","TikTok Ads","Search","6019.38","38776.78","234","70195","4239"
"2024-08-28","Meta Ads","Search","4602.06","3401.33","31","73513","2073"
"2024-06-02","Google Ads","Search","10738.7","67523.57","513","162786","7406"
"2024-09-23","Google Ads","Video","16312.32","11886.29","117","133909","5664"
"2024-01-25","Google Ads","Search","6121.98","11861.33","82","92185","3779"
"2024-06-16","Meta Ads","Search","5762.69","21909.38","254","136637","4399"
"2024-06-04","Meta Ads","Display","1181.1","3679.26","13","56986","1270"
"2024-02-20","Meta Ads","Display","6912","22027.39","250","148859","3840"
"2024-08-03","Google Ads","Search","5849.7","47553.46","291","151900","5270"
"2024-10-08","Meta Ads","Shopping","7111.4","12719.4","332","155555","4588"
"2024-10-11","Meta Ads","Display","3551.3","7694.86","66","198979","2089"
"2024-12-04","Meta Ads","Search","2341.92","8643.08","47","186740","4182"
"2024-07-04","Google Ads","Shopping","8616.15","31939.46","290","126246","4203"
"2024-02-15","Google Ads","Search","1813","3805.56","14","30835","925"
"2024-12-22","TikTok Ads","Video","1272.57","22895.07","80","112938","3263"
"2024-12-16","Google Ads","Display","5662.62","11434.82","131","143573","3474"
"2024-07-14","TikTok Ads","Display","10010.88","84899.73","472","113621","10112"
"2024-08-31","Meta Ads","Search","5623.92","26802.91","247","125155","5256"
"2024-06-26","Meta Ads","Shopping","1921.5","8409.06","37","52940","1281"
"2024-09-01","TikTok Ads","Display","1569.5","6648.74","78","106069","3139"
"2024-03-24","Google Ads","Video","8320.02","12404.91","252","185523","6029"
"2024-11-11","TikTok Ads","Shopping","20645.38","52669.94","352","184969","15407"
"2024-12-24","Google Ads","Video","9005.4","6740.12","63","118005","5003"
